adm1_name,price_date,adm2_name,mkt_name,lat,lon,year,month,o_exchange_rate_unofficial,h_exchange_rate_unofficial,l_exchange_rate_unofficial,c_exchange_rate_unofficial,inflation_exchange_rate_unofficial
0,2007-01-01,16.4,19.6,22.5661804,90.261829,2007.0,1.0,69.91,69.78,69.53,69.72,10.33
0,2007-02-01,16.4,19.6,22.5661804,90.261829,2007.0,2.0,69.47,69.59,69.01,69.01,10.33
0,2007-03-01,16.4,19.6,22.5661804,90.261829,2007.0,3.0,68.44,68.95,68.23,68.95,10.33
0,2007-04-01,16.4,19.6,22.5661804,90.261829,2007.0,4.0,68.87,69.14,68.6,68.94,10.33
0,2007-05-01,16.4,19.6,22.5661804,90.261829,2007.0,5.0,68.78,69.09,68.58,69.09,10.33
0,2007-06-01,16.4,19.6,22.5661804,90.261829,2007.0,6.0,69.15,69.35,68.93,68.93,10.33
0,2007-07-01,16.4,19.6,22.5661804,90.261829,2007.0,7.0,68.75,68.93,68.58,68.64,10.33
0,2007-08-01,16.4,19.6,22.5661804,90.261829,2007.0,8.0,68.46,68.6,68.33,68.6,10.33
0,2007-09-01,16.4,19.6,22.5661804,90.261829,2007.0,9.0,68.53,68.7,68.41,68.7,10.33
0,2007-10-01,16.4,19.6,22.5661804,90.261829,2007.0,10.0,68.71,68.83,68.59,68.7,10.33
0,2007-11-01,16.4,19.6,22.5661804,90.261829,2007.0,11.0,68.66,68.75,68.56,68.62,10.33
0,2007-12-01,16.4,19.6,22.5661804,90.261829,2007.0,12.0,68.56,68.64,68.48,68.59,10.33
0,2008-01-01,16.4,19.6,22.5661804,90.261829,2008.0,1.0,68.55,68.61,68.48,68.58,-1.6299999999999997
0,2008-02-01,16.4,19.6,22.5661804,90.261829,2008.0,2.0,68.55,68.61,68.49,68.58,-0.63
0,2008-03-01,16.4,19.6,22.5661804,90.261829,2008.0,3.0,68.56,68.62,68.5,68.58,-0.53
0,2008-04-01,16.4,19.6,22.5661804,90.261829,2008.0,4.0,68.56,68.63,68.51,68.63,-0.45
0,2008-05-01,16.4,19.6,22.5661804,90.261829,2008.0,5.0,68.64,68.7,68.58,68.58,-0.75
0,2008-06-01,16.4,19.6,22.5661804,90.261829,2008.0,6.0,68.52,68.59,68.46,68.53,-0.59
0,2008-07-01,16.4,19.6,22.5661804,90.261829,2008.0,7.0,68.5,68.56,68.44,68.52,-0.19
0,2008-08-01,16.4,19.6,22.5661804,90.261829,2008.0,8.0,68.49,68.54,68.43,68.52,-0.11000000000000001
0,2008-09-01,16.4,19.6,22.5661804,90.261829,2008.0,9.0,68.51,68.56,68.45,68.52,-0.27
0,2008-10-01,16.4,19.6,22.5661804,90.261829,2008.0,10.0,68.5,68.55,68.45,68.55,-0.22000000000000003
0,2008-11-01,16.4,19.6,22.5661804,90.261829,2008.0,11.0,68.56,68.72,68.51,68.72,0.14
